post_title,creation_date,summary,Access to a secure digital,Accessible and sustainable,Affecting Topics,alert-country,alert-impact,alert-type,Civic and political,Civil Society Organisation,enabling-principle,New Contextual,New Violations,Open and responsive State,Respect and protection,Socioeconomic rights,Specific groups minority,Supportive legal,Supportive public culture,_uid
Defaming comments about Jamaicans for Justice by the Deputy Prime Minister and Minister of National Security and Peace,2026-03-02,"Event SummaryDuring an interview with Dr. Horace Chang on 23 February 2026, on Nationwide 90FM, commenting on crime in Jamaica, he then proceeded to make a defaming comment stating ""Jamaicans for Justice (JFJ) is living off blood money"". In his statement, he said JFJ's criticism of the police not wearing body-worn cameras during their planned operations, opens door for more donor funding. Minister Chang made the comments against the background of criticisms of the Jamaica Constabulary Force (JCF) by JFJ and other organisations over increased police fatal shootings and alleged lack of accountability by the JCF. He accused the organisations of undermining the work of the police while benefiting from the so-called “blood money”. ""There was what I consider a broadside, an unjust, selfish, and crowded broadside against police officers because they weren't using cameras. By whom? It was designed by various people in the community. There was the Jamaican for Justice"", Minister Chag stated. He then went on to state ""February it is appear[ing] that there's an increase in murder rate. Those who are attached to international will get some more money. That's blood money but on innocent Jamaicans and I'm very upset about it. I'm very concerned. That's my bigger concern that a time when we are beginning to get uncontrolled the gangs there are people who seem not to care... Jamaica for justice must stop this, they [are] living off blood money, they're living off blood money"".",,,,Jamaica,Negative,Deterioration alert,,,Civic Culture and Public Discourses on Civil Society,,,,,,,,Negative discourses on CSOs,1e7e624c350fb0fdb2f0158513341147
Condemnation of activist Jean François Kouassi,2026-03-04,"Event SummaryJean-François Kouassi, a young Ivorian political activist known by the acronym JFK and presenting himself as the “president of the youth,” was arrested on 8 January 2026, in Abidjan, in the 1st district of Plateau, following a police operation.
His arrest followed his outspoken posts on social media, in which he denounced irregularities in public service recruitment exams, including the alleged sale of customs positions and nepotistic practices within the Ministry of Public Service. Consequently, on 12 January 2026, he was brought before the public prosecutor and placed in pre-trial detention, charged with disturbing public order, defamation, dissemination of false information, and malicious denunciation.
Subsequently, on 26 January 2026, the Court of First Instance of Abidjan sentenced him to fifteen days of firm imprisonment, in addition to an eight-month suspended sentence and a fine of 500,000 CFA francs. He served his sentence and was released on 27 January 2026.
&nbsp;
&nbsp;",Internet Censorship,,,Côte d'Ivoire,Negative,Deterioration alert,,,Respect and protection of fundamental freedoms,,,,Arbitrary Arrests and Detentions | Freedom of expression | Freedom of the press / media,,,,,17bb76c6fc8afe304ee4f4ba43bf6166
Extreme and high risk alerts for violence and irregularities continue in 339 municipalities ahead of the March 8 elections,2026-03-03,"Event SummaryThe Electoral Observation Mission (MOE), a civil society organisation specialising in electoral monitoring, warned that 339 municipalities in the country are at extreme and high risk due to violence associated with illegal armed actors, ahead of the legislative elections on 8 March 2026.
According to the MOE, there are specific alerts about possible interference by armed groups in the election of peace seats, created to guarantee political representation for victims of the conflict. The organisation has pointed out that these structures can influence the process through intimidation, territorial control, co-opting of candidates or restrictions on voter mobility. In addition, national media outlets have reported attacks and threats against congressional candidates in the last week, as well as persistent warnings about possible electoral fraud, voter migration, and risks to the safety of campaigns and voters. Candidates Andrés Vásquez and Ana Guetio were detained by unidentified individuals during the week of 27 February 2026.
The MOE has emphasised the need to strengthen security measures, guarantee effective institutional presence and ensure that communities can vote freely, without armed pressure or manipulation of the electoral process.",,,,Colombia,Negative,Early warning alert,,,"Respect and protection of fundamental freedoms,State openness and responsiveness to civil society",,Physical Violence,,Freedom of assembly | Freedom of expression,,,,,3f957db11310999b2bff98d29c78a3a8
Increase in mass forced displacement and confinement in Colombia,2026-03-03,"Event SummaryThe Colombian Ombudsman's Office warned that during January 2026, there were 12 incidents of mass forced displacement affecting 3,409 people, with Cauca being the department with the highest number of people affected, followed by Norte de Santander, Magdalena, and Antioquia. In addition, seven incidents of confinement were documented, restricting the mobility of 17,651 people in the country, mainly affecting communities in Caquetá, Cauca, Antioquia, Norte de Santander, Putumayo and Chocó. The organisation warned of the continuing humanitarian crisis associated with the armed conflict and the need to strengthen the institutional response to assist displaced or confined communities and prevent the overflow of territorial capacities.
In this pre-election context, rural communities: including indigenous peoples, Afro-descendant communities, and peasant communities; have faced severe restrictions on mobility, threats, and armed social control, which not only exacerbates the humanitarian crisis but also limits the exercise of fundamental rights such as citizen participation, social organisation, and access to basic services.
&nbsp;",,,,Colombia,Negative,Deterioration alert,,,Respect and protection of fundamental freedoms,,Physical Violence,,Freedom of assembly | Freedom of association,,,,,07f6f9556fcffcab22ad69540a57b53e
Constitutional challenge and President&#8217;s reaction to the suspension of social media by the High Authority for Communication,2026-03-03,"Event SummaryOn 23 February 2026, in Libreville, four compatriots, Maimouna Abdoul Kadir, Akue Essimengane Teddy Annael, Mabandah Elisabeth and Ndomba Mouele Cabrel-Jeannis, filed a constitutional challenge against the communiqué of 17 February 2026 ordering the immediate suspension of social media throughout the country. This action illustrates the desire to find a legal solution to a problem that directly affects citizens. The objective is twofold: to denounce the illegal suspension of social media and to highlight its economic and social impacts, while reminding everyone that the protection of fundamental freedoms must remain at the heart of any digital regulation.
The decision by the High Authority for Communication (HAC) to suspend digital social media platforms on 17 February 2026 has sparked a strong reaction within Gabon's civic sphere, both from the authorities and civil society. The authorities justified the suspension of social media on the grounds of fears of destabilisation linked to the dissemination of content deemed hateful or misleading. This suspension mainly takes the form of targeted filtering of digital platforms and a slowdown in internet connection speeds. The government has indicated that it has entered into discussions with certain platforms, notably those belonging to the Meta group, but has not provided any public confirmation of the nature of these exchanges. Furthermore, no information has been provided to date on when normal service will resume, but this status quo does not seem to bother those who initiated the measure.
The consequences for the population and civil society were immediate: interruption of channels of information and mobilisation, loss of revenue for businesses dependent on social media, and increased concerns among NGOs and international actors about the future of freedom of expression and the right to information in Gabon.",,,,Gabon,Negative,Context to watch,,,"Digital Environment Integrity and Security,Respect and protection of fundamental freedoms",,Internet Shutdowns,,Freedom of expression,,,,,86d2ce0ec78947148539783c2ffa423d
The release of Tunisian lawyer Ahmed Souab,2026-03-03,"Event SummaryThe release of Ahmed Souab, a renowned Tunisian lawyer, was confirmed by his family on 23 February 2026 following a court ruling ordering his release, ending a detention that had deeply divided public opinion in Tunisia. Souab was serving a five-year prison sentence handed down following a trial criticised as ""very quick and unfair"" by human rights organisations. His detention, which began in April 2025 after he made public statements denouncing procedural violations in a trial against political opponents, had sparked a wave of media and international outrage.
His release comes amid heightened tensions between the government and its critics, with Souab widely perceived as a vocal critic of the president and the authorities. Furthermore, reports from NGOs such as Amnesty International had denounced the unfair nature of his trial and warned of the deterioration of his health in detention, calling for his immediate release. This release is presented as a possible sign of appeasement or a response to local and international pressure in favour of respect for civil rights. Some commentators see it as a potential turning point in the debate on judicial independence and freedom of expression in Tunisia, while others stress that the issue of fundamental freedoms remains at the heart of national concerns.

Libération de l'avocat tunisien Ahmed Souab
La libération d'Ahmed Souab, avocat tunisien de renom, a été confirmée par sa famille le 23 février 2026, à la suite d'une décision de justice ordonnant sa remise en liberté, mettant ainsi fin à une détention qui avait profondément divisé l'opinion publique en Tunisie. Souab purgeait une peine de cinq ans de prison prononcée à l'issue d'un procès qualifié de « très rapide et injuste » par les organisations de défense des droits humains. Sa détention, qui avait débuté en avril 2025 après qu'il eut dénoncé publiquement des violations de procédure dans un procès contre des opposants politiques, avait suscité une vague d'indignation dans les médias et à l'échelle internationale.
Sa libération intervient dans un contexte de tensions accrues entre le gouvernement et ses détracteurs, Souab étant largement considéré comme un critique virulent du président et des autorités. En outre, des rapports d'ONG telles qu'Amnesty International avaient dénoncé le caractère inéquitable de son procès et mis en garde contre la détérioration de son état de santé en détention, appelant à sa libération immédiate. Cette libération est présentée comme un possible signe d'apaisement ou une réponse aux pressions locales et internationales en faveur du respect des droits civils. Certains commentateurs y voient un tournant potentiel dans le débat sur l'indépendance judiciaire et la liberté d'expression en Tunisie, tandis que d'autres soulignent que la question des libertés fondamentales reste au cœur des préoccupations nationales.",,,,Tunisia,Positive,Improvement alert,,,Respect and protection of fundamental freedoms,,,,Freedom of expression | HRD releases or dismissal of cases,,,,,a8c898d9a96934531b87b73d772052eb
"Activist Kamil Al-Zoubi arrested, sentenced to 1 year in prison under cybercrime law",2026-03-03,"Event SummaryOn 21 January 2026, the activist Kamil al-Zoubi was sentenced to 2 years of prison after being arrested on 1 January 2026 for his online expression. Al-Zoubi has been continually persecuted since 2014 for his peaceful online expression, which has spanned critique of government policies, corruption, and Palestine solidarity — with the years of 2014, 2018-2022, and 2024-2026 all containing instances of persecution, whether through arrests, detentions, charges (under various laws), or travel ban.
His online posts in the days prior to the arrest questioned the proper use of government funding for infrastructure, critiqued the state’s attitudes towards its citizens, supporting the Palestinian cause.
He was convicted under Article 17 of the cybercrime law (publishing information that would undermine community peace) — under which his prison sentence is issued — and Article 15 of the Penal Code (vilification of an official body).
On 8 February 2026, Al-Zoubi and his lawyer announced that his sentence had been reduced from 2 years to 1 year (presumably after appealing the sentence).",Internet Censorship,,,Jordan,Negative,Deterioration alert,,,"Digital Environment Integrity and Security,Respect and protection of fundamental freedoms",,,,Arbitrary Arrests and Detentions | Freedom of expression,,,,,15d00400857022ea9254ba655afc9c87
Government Urged to Refer Constitutional Amendments on Attorney General-Public Prosecutor Separation to Parliamentary Special Select Committee,2026-03-03,"Event SummaryOn 23 February 2026, the government tabled the Constitution (Amendment) (No. 2) Bill 2026 on role separation between the Attorney-General (AG) and the Public Prosecutor (PP) for first reading in the Dewan Rakyat, with intentions of rushing to pass the Bill by 3 March 2026. While the Executive frames this as a progressive fulfilment of reform pledges, political actors across the divide and civil society have raised alarms over issues of separation of powers and institutional accountability. 
Key concerns:

PP appointment and removal: The King has discretion in appointing the PP on the Judicial and Legal Service Commission’s (SPKP) recommendation and after consultation with the Conference of Rulers. Contrary to Executive claims of removing political interference, critics argue the structure retains executive influence, as the SPKP chair remains appointed on the Prime Minister’s advice. Unfettered discretion, even by the King, risks bypassing institutional oversight, creating systemic conflicts of interest since any individual—including royalty—could potentially be subject to criminal proceedings. Without legislative oversight in appointment and removal, the PP remains insulated from accountability, potentially retaining office despite performance failures or public rejection.
Prosecutorial powers: Characterised as a copy-paste of the existing Article 145(3), the Bill transfers absolute discretion from the AG to the PP without requiring judicial review or reasoned justifications for discontinuing proceedings. CSOs also warn of ‘forum shopping’ risks through new trial venue powers and institutional deadlocks in cases requiring dual AG-PP consent. without clear coordinating guidelines.
Institutional Conflicts: The PP and AG’s membership in the SPKP creates a conflict of interest that compromises separation of powers, as SPKP manages both prosecutorial and judicial appointments. Additionally, replacing the AG with the PP on the Pardons Board creates an inherent conflict between the duty to prosecute and the clemency process. 
Tenure: Concerns of coalescence of power were raised regarding the PP’s seven-year term with potential extensions upon review. CSOs advocate for a single, non-renewable term and a mandatory retirement age. Government backbenchers propose reducing the term to four years.  

The aforementioned diverse stakeholders urgently called for referral of the Bill to the Parliamentary Special Select Committee on Human Rights, Elections and Institutional Reform for a formal inquiry and comprehensive review.",,,,Malaysia,Negative,Context to watch,,,"Respect and protection of fundamental freedoms,Supportive legal and regulatory framework",,,,Freedom of expression,,,Changes affecting the protection from interference in civil society actor’s operations,,f806ecd37f900495fa8a4af153fd346d
Casa dos Direitos under intense persecution,2026-03-03,"Event SummaryOn the morning of 7 February 2026, the Casa dos Direitos - which serves as the headquarters of the Guinean League of Human Rights - was once again closed, and the Ambassador of the European Union, Mr. Federico Bianchi Antília, and the Attaché for Cooperation, Justice, Gender and Human Rights, Mr. Carlos Abaitua Zarza, while on a guided visit to the building, were unexpectedly expelled by a group of armed and hooded Rapid Intervention Police officers, without any explanation or legal grounds for such action. This sad episode follows the invasion of the Casa dos Direitos on 22 and 23 December 2025. It should be noted that the Casa dos Direitos Consortium is currently holding the Human Rights Fortnight, which was supposed to take place in December but was postponed to February due to the coup d’état that interrupted the general elections.
This event is a continuation of the context surrounding the general elections held on 23 November 2025, which were suspended by the military, allegedly as a measure to restore order, national security, stability, and to combat drug trafficking. Since the Casa dos Direitos hosts activities of civil society organizations, it has become a target of the dictatorial regime. In other words, the objective is to shut down the Casa dos Direitos as a way to reduce the Guinean League of Human Rights’ capacity to act, continue the persecution of organizations that criticize the regime, and silence all voices that denounce human rights violations, abuses of the law, and attacks on democracy.
&nbsp;",,,,Guinea Bissau,Negative,Deterioration alert,,,Respect and protection of fundamental freedoms,,Physical Violence,,Freedom of association,,,,,9ef499c81f943be46e64bcd162e633fd
Persecution of social activists and human rights defenders in a tense climate of repression in Guinea-Bissau,2026-01-29,"Event SummaryAfter the coup d’état carried out by the High Military Command as a way to consolidate power in November 2025, the persecution and arbitrary detention of social activists and human rights defenders began.
On 22 December 2025, at the initiative of the Guinean League of Human Rights and with the participation of several Guinean civil society organizations, including the Network of Human Rights Defenders, a vigil was held at the Casa dos Direitos, demanding the release of politicians detained following the military coup. Hours after the vigil, around 30 officers from the Rapid Intervention Police invaded the Casa dos Direitos, where they detained and brutally beat two staff members. They were taken to the Ministry of the Interior.
On the morning of the following day, police officers returned to the Casa dos Direitos, expelled the staff, and blocked access to the building. At this moment, however, the House of Rights has been reopened and is functioning normally.
In the early evening of 27 December 2025, social activist Mr. Abubacar Martins Sambú, Coordinator of the Guinean Movement for Democracy and Development, was brutally assaulted by approximately ten armed and hooded men who broke into his residence in Bissau. The attack occurred after he had openly criticized the country’s current political situation on 12 December.








On 28 December 2026, lawyer Augusto Nansambé was abducted from his residence in Bissau and was detained for 30 days. There are unconfirmed reports that he was subjected to violent beatings. The reason for his detention is related to comments he made on his Facebook account on 27 December criticizing the Balanta ethnic group, to which he belongs, stating that this ethnic group is a factor of instability in the country.",,,,Guinea Bissau,Negative,Deterioration alert,,,"Respect and protection of fundamental freedoms,State openness and responsiveness to civil society",,Physical Violence,,Arbitrary Arrests and Detentions | Freedom of assembly | Freedom of association | Freedom of expression | Freedom of the press / media,,,Suspension or Dissolution of Organizations,,46e00986710a50ae51ac47ce67e4c784
